sSCENARIO,dGAMMAI,dBETAI,dRHOIX
SCEN_1,0.0,0.0,-1.0
SCEN_2,0.0,0.0,-0.5
SCEN_3,0.0,0.0,0.0
SCEN_4,0.0,0.0,0.5
SCEN_5,0.0,0.0,1.0
SCEN_6,0.0,0.5,-1.0
SCEN_7,0.0,0.5,-0.5
SCEN_8,0.0,0.5,0.0
SCEN_9,0.0,0.5,0.5
SCEN_10,0.0,0.5,1.0
SCEN_11,0.0,1.0,-1.0
SCEN_12,0.0,1.0,-0.5
SCEN_13,0.0,1.0,0.0
SCEN_14,0.0,1.0,0.5
SCEN_15,0.0,1.0,1.0
SCEN_16,0.0,1.5,-1.0
SCEN_17,0.0,1.5,-0.5
SCEN_18,0.0,1.5,0.0
SCEN_19,0.0,1.5,0.5
SCEN_20,0.0,1.5,1.0
SCEN_21,0.0,2.0,-1.0
SCEN_22,0.0,2.0,-0.5
SCEN_23,0.0,2.0,0.0
SCEN_24,0.0,2.0,0.5
SCEN_25,0.0,2.0,1.0
SCEN_26,0.0,2.5,-1.0
SCEN_27,0.0,2.5,-0.5
SCEN_28,0.0,2.5,0.0
SCEN_29,0.0,2.5,0.5
SCEN_30,0.0,2.5,1.0
SCEN_31,0.0,3.0,-1.0
SCEN_32,0.0,3.0,-0.5
SCEN_33,0.0,3.0,0.0
SCEN_34,0.0,3.0,0.5
SCEN_35,0.0,3.0,1.0
SCEN_36,0.5,0.0,-1.0
SCEN_37,0.5,0.0,-0.5
SCEN_38,0.5,0.0,0.0
SCEN_39,0.5,0.0,0.5
SCEN_40,0.5,0.0,1.0
SCEN_41,0.5,0.5,-1.0
SCEN_42,0.5,0.5,-0.5
SCEN_43,0.5,0.5,0.0
SCEN_44,0.5,0.5,0.5
SCEN_45,0.5,0.5,1.0
SCEN_46,0.5,1.0,-1.0
SCEN_47,0.5,1.0,-0.5
SCEN_48,0.5,1.0,0.0
SCEN_49,0.5,1.0,0.5
SCEN_50,0.5,1.0,1.0
SCEN_51,0.5,1.5,-1.0
SCEN_52,0.5,1.5,-0.5
SCEN_53,0.5,1.5,0.0
SCEN_54,0.5,1.5,0.5
SCEN_55,0.5,1.5,1.0
SCEN_56,0.5,2.0,-1.0
SCEN_57,0.5,2.0,-0.5
SCEN_58,0.5,2.0,0.0
SCEN_59,0.5,2.0,0.5
SCEN_60,0.5,2.0,1.0
SCEN_61,0.5,2.5,-1.0
SCEN_62,0.5,2.5,-0.5
SCEN_63,0.5,2.5,0.0
SCEN_64,0.5,2.5,0.5
SCEN_65,0.5,2.5,1.0
SCEN_66,0.5,3.0,-1.0
