sVALUATION_DATE,sIDIOSYNCRATIC_ID,sSTRATEGY,sTYPOLOGY,sPAYOFF_TYPE,sEXPIRY_DATE,dSTRIKE_PRICE,dPOSITION,sFIXING_FREQUENCY,sFIXING_DATE_BEG,sFIXING_DATE_END,dBASE_DAYS
20250331,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250331,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250331,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250331,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250401,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250401,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250401,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250401,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250402,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250402,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250402,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250402,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250403,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250403,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250403,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250403,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250404,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250404,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250404,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250404,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250407,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250407,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250407,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250407,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250408,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250408,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250408,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250408,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250409,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250409,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250409,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250409,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250410,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250410,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250410,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250410,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250411,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250411,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250411,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250411,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250414,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250414,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250414,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250414,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250415,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250415,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250415,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250415,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
20250416,COIN,collar,asian discrete,put,20250417,172.23,-100.0,B,20250331,20250417,252
20250416,COIN,collar,asian discrete,call,20250417,198.06,100.0,B,20250331,20250417,252
20250416,COIN,vanilla,vanilla,put,20250417,180.84,85.0,,,,252
20250416,COIN,vanilla,vanilla,call,20250417,206.67,-120.0,,,,252
